contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,mid,T,r
A130817C00043000,A,2013-08-17,call,43.0,A,3.1,,3.25,,0,5,2013-01-02,0.491,0.0426,-2.9028,13.1,0.2829,3.175,0.6219178082191781,0.1
A130817C00044000,A,2013-08-17,call,44.0,A,2.69,,2.76,,24,0,2013-01-02,0.4479,0.0429,-2.8382,12.9978,0.2782,2.7249999999999996,0.6219178082191781,0.1
A130817C00045000,A,2013-08-17,call,45.0,A,2.29,,2.35,,6,23,2013-01-02,0.405,0.0428,-2.7434,12.7419,0.2738,2.3200000000000003,0.6219178082191781,0.1
A130817C00046000,A,2013-08-17,call,46.0,A,1.91,,1.99,,0,0,2013-01-02,0.3615,0.0423,-2.6002,12.3229,0.2679,1.95,0.6219178082191781,0.1
A130817C00047000,A,2013-08-17,call,47.0,A,1.6,,1.67,,0,0,2013-01-02,0.3212,0.041,-2.4585,11.7833,0.2645,1.635,0.6219178082191781,0.1
A130817C00048000,A,2013-08-17,call,48.0,A,1.33,,1.39,,0,0,2013-01-02,0.2827,0.0392,-2.296,11.1285,0.2612,1.3599999999999999,0.6219178082191781,0.1
A130817C00049000,A,2013-08-17,call,49.0,A,1.1,,1.14,,3,0,2013-01-02,0.2456,0.037,-2.1073,10.36,0.2572,1.12,0.6219178082191781,0.1
A130817C00050000,A,2013-08-17,call,50.0,A,0.89,,0.94,,0,0,2013-01-02,0.2113,0.0345,-1.9116,9.5215,0.2536,0.915,0.6219178082191781,0.1
A130817C00055000,A,2013-08-17,call,55.0,A,0.29,,0.34,,0,2,2013-01-02,0.0913,0.0203,-1.0514,5.407,0.2446,0.315,0.6219178082191781,0.1
A130817C00060000,A,2013-08-17,call,60.0,A,0.08,,0.12,,0,1,2013-01-02,0.034,0.0095,-0.4755,2.4892,0.2397,0.1,0.6219178082191781,0.1
A140118C00020000,A,2014-01-18,call,20.0,A,21.1,,22.95,,0,5,2013-01-02,0.9582,0.0038,-0.3813,3.1327,0.4467,22.025,1.0438356164383562,0.1
A140118C00023000,A,2014-01-18,call,23.0,A,17.9,,19.85,,0,0,2013-01-02,0.9377,0.0061,-0.6489,4.6336,0.4164,18.875,1.0438356164383562,0.1
A140118C00025000,A,2014-01-18,call,25.0,A,16.45,,18.3,,0,37,2013-01-02,0.9195,0.008,-0.8455,5.8284,0.3978,17.375,1.0438356164383562,0.1
A140118C00028000,A,2014-01-18,call,28.0,A,12.9,,15.45,,0,0,2013-01-02,0.8836,0.0115,-1.1571,7.8864,0.372,14.175,1.0438356164383562,0.1
